Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
bge-large-en-v1.5,GQ,1.0,1.0,0.819423314073295,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8213482517359767,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6156012978458393,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7233726122302209,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.792949770861511,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.125,0.4130547397016814,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.14285714285714285,0.5818969757727167,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6663180938082345,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8909254103672668,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6663180938082345,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7395276212757309,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6663180938082345,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
